   2.0000000000000000E-003   299.99998561882182        2.2817950192056941E-011 -0.96222193142051127      -0.25558924919711901        868.27131073695296        0.0000000000000000     
   3.0000000000000001E-003   299.99995789775056        8.4752383263437797E-011 -0.96222188279938603      -0.25558921513421573        868.27125385920829        0.0000000000000000     
   4.0000000000000001E-003   299.99991824395437        2.0536153277846542E-010 -0.96222181472981572      -0.25558916640870682        868.27117249804894        0.0000000000000000     
   5.0000000000000001E-003   299.99986693887121        4.0420362276390646E-010 -0.96222172721180121      -0.25558910336642005        868.27106723092572        0.0000000000000000     
   6.0000000000000001E-003   299.99980407631807        7.0083686453413738E-010 -0.96222162024534497      -0.25558902612264101        868.27093825033126        0.0000000000000000     
   7.0000000000000001E-003   299.99972969650696        1.1148194535130535E-009 -0.96222149383045019      -0.25558893472678812        868.27078563877205        0.0000000000000000     
   8.0000000000000002E-003   299.99964381954896        1.6657095660559832E-009 -0.96222134796712122      -0.25558882920358122        868.27060943751167        0.0000000000000000     
   8.9999999999999993E-003   299.99954645662177        2.3730653562716066E-009 -0.96222118265536238      -0.25558870956676510        868.27040966948448        0.0000000000000000     
   1.0000000000000000E-002   299.99943761443745        3.2564449528438808E-009 -0.96222099789517890      -0.25558857582459799        868.27018634846206        0.0000000000000000     
   1.0999999999999999E-002   299.99931729727251        4.3354064558539755E-009 -0.96222079368657709      -0.25558842798234677        868.26993948321910        0.0000000000000000     
   1.2000000000000000E-002   299.99918550798361        5.6295079336022090E-009 -0.96222057002956318      -0.25558826604353485        868.26966907961673        0.0000000000000000     
   1.2999999999999999E-002   299.99904224855374        7.1583074194300026E-009 -0.96222032692414428      -0.25558809001061339        868.26937514172357        0.0000000000000000     
   1.4000000000000000E-002   299.99888752040522        8.9413629085418379E-009 -0.96222006437032848      -0.25558789988534575        868.26905767245808        0.0000000000000000     
   1.4999999999999999E-002   299.99872132458643        1.0998232354827232E-008 -0.96221978236812367      -0.25558769566903761        868.26871667397120        0.0000000000000000     
   1.6000000000000000E-002   299.99854366188964        1.3348473667682712E-008 -0.96221948091753928      -0.25558747736268078        868.26835214788844        0.0000000000000000     
   1.7000000000000001E-002   299.99835453292638        1.6011644708833821E-008 -0.96221916001858476      -0.25558724496704616        868.26796409546478        0.0000000000000000     
   1.7999999999999999E-002   299.99815393817823        1.9007303289157120E-008 -0.96221881967127032      -0.25558699848274635        868.26755251768805        0.0000000000000000     
   1.9000000000000000E-002   299.99794187803104        2.2355007165502211E-008 -0.96221845987560717      -0.25558673791027747        868.26711741534996        0.0000000000000000     
   2.0000000000000000E-002   299.99771835279967        2.6074314037513789E-008 -0.96221808063160674      -0.25558646325005058        868.26665878909671        0.0000000000000000     
   2.1000000000000001E-002   299.99748336274462        3.0184781544453676E-008 -0.96221768193928103      -0.25558617450240956        868.26617663946274        0.0000000000000000     
   2.1999999999999999E-002   299.99723690808520        3.4705967262022905E-008 -0.96221726379864281      -0.25558587166765023        868.26567096689791        0.0000000000000000     
   2.3000000000000000E-002   299.99697898900831        3.9657428699183809E-008 -0.96221682620970550      -0.25558555474602934        868.26514177178569        0.0000000000000000     
   2.4000000000000000E-002   299.99670960567607        4.5058723294982137E-008 -0.96221636917248299      -0.25558522373777492        868.26458905445895        0.0000000000000000     
   2.5000000000000001E-002   299.99642875823048        5.0929408415369185E-008 -0.96221589268699026      -0.25558487864309087        868.26401281520884        0.0000000000000000     
   2.5999999999999999E-002   299.99613644679766        5.7289041350023925E-008 -0.96221539675324208      -0.25558451946216287        868.26341305429412        0.0000000000000000     
   2.7000000000000000E-002   299.99583267149137        6.4157179309175216E-008 -0.96221488137125444      -0.25558414619516345        868.26278977194829        0.0000000000000000     
   2.8000000000000001E-002   299.99551743241489        7.1553379420423947E-008 -0.96221434654104421      -0.25558375884225293        868.26214296838327        0.0000000000000000     
   2.9000000000000001E-002   299.99519072966359        7.9497198725565303E-008 -0.96221379226262804      -0.25558335740358373        868.26147264379460        0.0000000000000000     
   2.9999999999999999E-002   299.99485256332616        8.8008194177410990E-008 -0.96221321853602404      -0.25558294187930020        868.26077879836453        0.0000000000000000     
   3.1000000000000000E-002   299.99450293348599        9.7105922636611492E-008 -0.96221262536125018      -0.25558251226954232        868.26006143226380        0.0000000000000000     
   3.2000000000000001E-002   299.99414184022208        1.0680994086847841E-007 -0.96221201273832591      -0.25558206857444549        868.25932054565476        0.0000000000000000     
   3.3000000000000002E-002   299.99376928361022        1.1713980553980672E-007 -0.96221138066727041      -0.25558161079414304        868.25855613869282        0.0000000000000000     
   3.4000000000000002E-002   299.99338526372327        1.2811507321569716E-007 -0.96221072914810402      -0.25558113892876549        868.25776821152749        0.0000000000000000     
   3.5000000000000003E-002   299.99298978063200        1.3975530035637863E-007 -0.96221005818084770      -0.25558065297844268        868.25695676430405        0.0000000000000000     
   3.5999999999999997E-002   299.99258283440554        1.5208004331403052E-007 -0.96220936776552290      -0.25558015294330233        868.25612179716416        0.0000000000000000     
   3.6999999999999998E-002   299.99216442511164        1.6510885832960536E-007 -0.96220865790215171      -0.25557963882347351        868.25526331024696        0.0000000000000000     
   3.7999999999999999E-002   299.99173455281726        1.7886130152965088E-007 -0.96220792859075699      -0.25557911061908423        868.25438130368980        0.0000000000000000     
   3.9000000000000000E-002   299.99129321758863        1.9335692892313296E-007 -0.96220717983136206      -0.25557856833026349        868.25347577762864        0.0000000000000000     
   4.0000000000000001E-002   299.99084041949152        2.0861529639825796E-007 -0.96220641162399057      -0.25557801195714047        868.25254673219831        0.0000000000000000     
